location_key,latitude,longitude
METAPAL -02_DANTEWADA,18.8696207,81.5419006
JABELI_KUWAKONDA,18.553372,81.3807921
KUPER_DANTEWADA,18.8738583,81.3120398
PALNAR_KUWAKONDA,18.6157727,81.3890494
KATEKALYAN_KATEKALYAN,18.7108256,81.6853887
HITAMETA_GEEDAM,19.1533178,81.4069833
GUMDA_GEEDAM,18.9281695,81.4114226
CHITALUR_DANTEWADA,18.88466,81.38873
JARAM_DANTEWADA,18.87553,81.40481
CHITALUR_DANTEWADA,18.88466,81.38873
KAWADGAON_DANTEWADA,18.8959249,81.5269706
SAMLOOR_GEEDAM,18.9827612,81.2930233
TOYLANKA_DANTEWADA,18.8000857,81.4870681
BADEKARLI_GEEDAM,18.97500,81.38900
HARAM_GEEDAM,18.9732493,81.3853593
PONDUM_DANTEWADA,18.9058663,81.4406578
BHOGAM_DANTEWADA,18.9078331,81.3074122
HITAMETA_KUWAKONDA,19.1533178,81.4069833
KAWALNAR_DANTEWADA,18.8935829,81.275028
NETAPUR_DANTEWADA,18.8206046,81.4054051
BENGLUR_KATEKALYAN,18.79999,81.65394
PHARASPAL_GEEDAM,18.9370593,81.2590384
GAMAWADA_DANTEWADA,18.81034,81.30925
KAWALNAR_DANTEWADA,18.8935829,81.275028
ATEPAL_KATEKALYAN,18.71000,81.53000
GADAPAL_DANTEWADA,18.797948,81.472063
BHOGAM_DANTEWADA,18.9078331,81.3074122
BANGAPAL_GEEDAM,18.989315,81.2187933
KAWADGAON_DANTEWADA,18.8959249,81.5269706
CHOLNAR_KUWAKONDA,18.621423,81.3192041
BHANSI_DANTEWADA,18.7723138,81.2777485
KESHAPUR_DANTEWADA,18.92751,81.27543
BINJAM_GEEDAM,18.944569,81.299546
MAHARAHAURNAR_KUWAKONDA,18.657998,81.396467
SHYAMGIRI_KUWAKONDA,18.71005,81.38064
DHURLI_DANTEWADA,18.78529,81.28410
TUDPARAS_DANTEWADA,18.88725,81.31403
CHITALANKA_DANTEWADA,18.91628,81.34383
GONGPAL_KUWAKONDA,18.687679,81.4076905
ARBE_KUWAKONDA,,
MURKEE_DANTEWADA,18.84299,81.35063
MAILAWADA_KUWAKONDA,18.7045948,81.4396935
BADESUROKHI_GEEDAM,18.99271,81.27057
GONGPAL_KUWAKONDA,18.687679,81.4076905
NAKULNAR_KUWAKONDA,18.730281,81.4052318
BADETUMNAR_GEEDAM,19.0166999,81.2338449
POTALI_KUWAKONDA,18.47907,81.36865
KADAMPAL_KUWAKONDA,18.6649813,81.2870885
MOPHALNAR_GEEDAM,18.999336513412093,81.29016871131107
BODLI_GEEDAM,18.98000,81.14000
KUPER_DANTEWADA,18.8738583,81.3120398
HIRANAR_GEEDAM,19.0113729,81.3599093
REVALI_KUWAKONDA,18.53194,81.38982
AALNAR_GEEDAM,18.95625,81.26311
METAPAL -02_DANTEWADA,18.8696207,81.5419006
BALOOD_DANTEWADA,18.8797576,81.3719158
NAGUL_GEEDAM,19.0040532,81.4266347
GAMAWADA_DANTEWADA,18.81034,81.30925
GHOTPAL_GEEDAM,19.0133241,81.3967291
FUNDRI_GEEDAM,19.0054775,81.1207302
GUDSE_KATEKALYAN,18.762287,81.6585508
BADEBEDMA_KATEKALYAN,18.6302435,81.4199105
SAMALWAR_KUWAKONDA,18.6065478,81.3136132
MOLASNAR_DANTEWADA,18.73392,81.33697
TUMAKPAL_KATEKALYAN,18.7907333,81.6272016
KATULNAR_GEEDAM,19.0279595,81.4712845
MASENAR_DANTEWADA,18.7896085,81.3630409
MATENAR_DANTEWADA,18.8679259,81.4300483
BADEGADAM_KATEKALYAN,18.71118,81.66386
JARAM_DANTEWADA,18.87553,81.40481
PHULNAR_DANTEWADA,18.85881,81.44611
BALPET_DANTEWADA,18.9067703,81.3999879
KALEPAL_KUWAKONDA,18.6257199,81.3362045
PAKNACHUA_KATEKALYAN,18.80471,81.61731
BADESUROKHI_GEEDAM,18.99271,81.27057
MAILAWADA_KUWAKONDA,18.7045948,81.4396935
GHOTPAL-02_GEEDAM,19.0133241,81.3967291
MARJUM_KATEKALYAN,18.75028,81.73957
CHHOTEGUDRA_KATEKALYAN,18.6686739,81.5040987
JODATARAI_GEEDAM,19.0337522,81.3921906
TEKNAR_DANTEWADA,18.9272899,81.3831074
CHHINDNAR_GEEDAM,19.0673492,81.3092884
HIROLI_KUWAKONDA,18.5943623,81.268713
SAMELI_KUWAKONDA,18.5561262,81.347042
KORKOTI_GEEDAM,19.1032607,81.466714
MASENAR_DANTEWADA,18.7896085,81.3630409
GATAM_KATEKALYAN,18.8223746,81.5766224
MUNDER_GEEDAM,18.9251709,81.1974996
PADHAPUR_DANTEWADA,18.6756672,81.2551331
GANJENAR_DANTEWADA,18.7565689,81.3856423
DUMAM_DANTEWADA,18.9051414,81.5026695
NAHADI_KUWAKONDA,18.71278,81.40614
GUMALNAR_GEEDAM,19.0643954,81.2497483
MATHADI_KATEKALYAN,18.830565,81.5848724
MARJUM_KATEKALYAN,18.75028,81.73957
PONDUM 02_DANTEWADA,18.9058663,81.4406578
GAMAWADA_Dantewada,18.81034,81.30925
CHHINDNAR_DANTEWADA,19.0673492,81.3092884
ATEPAL_KATEKALYAN,18.71000,81.53000
